id,prod_name,label
shoe15,MESH BALLET FLATS,shoe
shoe16,SUEDE MARY JANE FLATS,shoe
shoe17,LEATHER BALLET FLATS WITH ELASTIC STRAP,shoe
shoe18,ANIMAL PRINT BOW HIGH HEEL MULES,shoe
shoe19,PATENT LEATHER SLINGBACK PUMPS,shoe
shoe20,SLINGBACK BUCKLE SHOES,shoe
shoe21,STRAPPY FISHERMAN SANDALS,shoe
shoe22,FLAT SUEDE STRAP SANDALS,shoe
shoe23,BUCKLED SANDALS,shoe
shoe24,SOFT ATHLETIC SNEAKERS,shoe
shoe25,BUCKLED SUEDE CLOGS,shoe
shoe26,METALLIC BUCKLE CLOGS,shoe
shoe27,METAL STRAP BALLET FLATS,shoe
shoe28,CASUAL STYLE SNEAKERS,shoe
shoe29,COLOR-BLOCK SNEAKERS,shoe
shoe30,SNEAKERS,shoe
shoe31,SNEAKERS IN A COMBINATION OF COLORS,shoe
shoe32,FLATFORM SANDALS,shoe
shoe33,LEATHER HEELED SANDALS,shoe
shoe34,SUEDE HEELED SANDALS,shoe
shoe35,SLINGBACK STUDDED FLATS,shoe
shoe36,LOW HEELED STUDDED SHOES,shoe
shoe37,STUDDED SLINGBACK HEELS,shoe
shoe38,PENNY LOAFERS,shoe
shoe39,VELVET EFFECT PLATFORM SANDAL,shoe
shoe40,FLAT LEATHER SANDALS,shoe
shoe41,DENIM BUCKLE BALLET FLATS,shoe
shoe42,LEATHER BALLET FLATS,shoe
shoe43,ANIMAL PRINT BUCKLE BALLET FLATS,shoe
shoe44,BUCKLE MARY JANES,shoe
shoe45,SATIN EFFECT TOPSTITCHED BALLERINA FLATS,shoe
shoe46,MAXI GLITTER BOW SANDALS,shoe
shoe47,EMBROIDERED MESH SLINGBACK SHOES,shoe
shoe48,SATIN EFFECT FLOWER HEELED SANDALS,shoe
shoe49,PATENT SLINGBACK HIGH HEELS,shoe
shoe50,HIGH-HEELED DENIM SANDALS,shoe
shoe51,LEATHER KITTEN HEELED SANDALS,shoe
shoe52,SATIN EFFECT FLAT SANDALS,shoe
shoe53,FLAT SATIN FINISH SANDALS WITH METALLIC PIECE,shoe
shoe54,FLAT SANDALS WITH LEATHER STRAPS,shoe
shoe55,BRAIDED SLINGBACK HEELS,shoe
shoe56,HIGH HEELED STRAP SANDALS,shoe
shoe57,SPLIT LEATHER KITTEN HEEL KNEE HIGH BOOTS,shoe
shoe58,SPLIT LEATHER KITTEN HEEL KNEE HIGH BOOTS,shoe
shoe59,COCONUT EFFECT WEDGES,shoe
shoe60,STRAPPY KITTEN HEELS,shoe
shoe61,POINTED TOE LEATHER SLINGBACK FLATS,shoe
shoe62,SUEDE COWBOY BOOTS,shoe
shoe63,LEATHER COWBOY BOOTS,shoe
shoe64,KNEE HIGH SPLIT LEATHER COWBOY BOOTS,shoe
shoe65,CONTRASTING COWBOY BOOTS,shoe
shoe66,SUEDE PENNY LOAFERS,shoe
shoe67,METAL STRAP BALLET FLATS,shoe
shoe68,METAL STRAP BALLET FLATS,shoe
shoe69,BRAIDED BALLET FLATS,shoe
shoe70,EMBROIDERED SUEDE LOAFERS,shoe
shoe71,FRINGE SPLIT LEATHER CLOGS,shoe
shoe72,EMBROIDERED SUEDE LOAFERS,shoe
shoe73,FRINGE SPLIT LEATHER CLOGS,shoe
shoe74,BUCKLE SLINGBACK HEELS,shoe
shoe75,FUR TRIMMED LEATHER SLINGBACK KITTEN HEELS,shoe
shoe76,HEELED ANKLE STRAP SANDALS,shoe
shoe77,HEELS WITH ANKLE STRAP,shoe
shoe78,LEOPARD SLING BACK HEELS,shoe
shoe79,SUEDE KITTEN HEEL ANKLE BOOTS,shoe
shoe80,SPLIT LEATHER STUDDED ANKLE BOOTS,shoe
shoe81,SPLIT LEATHER PLATFORM HEELED ANKLE BOOTS,shoe
shoe82,LEATHER MULES,shoe
shoe83,FRINGED LEATHER COWBOY BOOTS,shoe
shoe84,METALLIC KNOT MULE,shoe
shoe85,SUEDE LEATHER BALLET FLATS,shoe
shoe86,SOFT SUEDE LACED LOAFERS,shoe
shoe87,BUCKLED SUEDE MARY JANES,shoe
shoe88,BUCKLED SUEDE MARY JANES,shoe
shoe89,SATIN FINISH HEELS,shoe
shoe90,STUDDED FLAT SLINGBACKS,shoe
shoe91,PATENT FINISH HEELED SANDALS,shoe
shoe92,EMBOSSED BLOCK HEEL SLINGBACKS,shoe
